price,age,bathroom,bedroom,buyage,chnone,dholborn,floorm2,prkspace,chtgas,chtelec,phouse
40000,101,1,1,30,1,8.410728,57,0,0,0,0
119000,16,1,3,30,0,8.948036,80,0,1,0,1
104000,61,1,3,48,0,6.862759,108,0,1,0,1
119995,101,1,2,36,0,9.287176,86,0,1,0,1
101000,71,1,2,26,0,10.1612,86,0,1,0,0
165000,51,1,3,33,0,11.19426,94,0,1,0,1
125000,41,1,3,47,0,11.28773,94,1,1,0,1
120000,101,1,3,30,0,10.83073,86,0,1,0,1
127000,101,1,2,51,0,9.651979,89,0,1,0,1
91999.97,101,1,2,28,0,10.5368,77,1,1,0,1
110000,71,1,3,32,0,10.60125,74,0,1,0,1
87995.02,101,1,1,29,0,10.04983,50,0,1,0,0
79000.03,101,1,1,27,0,10.04983,60,0,1,0,0
95995.02,101,1,2,27,0,9.772364,66,0,1,0,0
75000.02,16,1,1,58,1,9.620907,44,1,0,0,0
120000,101,1,2,34,0,9.393698,88,0,1,0,1
115000,121,1,2,33,0,9.193923,77,0,1,0,1
101000,101,1,2,28,0,9.239084,82,0,1,0,1
115000,21,1,2,53,0,9.170785,71,0,0,1,1
105000,101,1,2,36,0,8.565861,73,0,1,0,0
79000.03,101,1,1,31,0,8.718549,56,0,1,0,0
132500,101,1,3,29,0,9.599305,122,0,1,0,1
110000,101,1,2,32,0,9.345378,81,0,1,0,0
79999.97,101,1,1,34,0,8.393327,49,1,1,0,0
74000.02,101,1,1,35,1,8.184077,52,0,0,0,0
120000,101,1,2,45,0,8.012336,85,0,1,0,1
86999.96,91,1,2,33,1,8.391511,59,0,0,0,0
130000,101,1,2,30,0,8.723527,90,0,1,0,1
118000,101,1,2,28,0,8.026113,80,0,1,0,1
112000,101,1,2,28,0,8.185404,90,0,1,0,1
124950,101,1,2,40,0,7.972124,96,0,1,0,1
80999.98,101,1,2,25,0,7.781069,63,0,1,0,0
79995.02,101,1,2,29,0,7.664755,80,0,1,0,0
89000.02,91,1,2,28,0,7.527815,69,0,1,0,0
122000,71,1,3,38,0,8.371392,91,0,1,0,1
110000,101,1,3,50,0,8.407036,85,0,1,0,1
117000,101,1,2,41,0,8.340044,92,0,1,0,1
138000,101,1,3,29,0,8.602921,105,0,1,0,1
89000.02,101,1,2,30,0,8.847298,57,0,1,0,0
140000,101,1,3,33,0,9.841673,116,0,1,0,1
145000,101,1,2,31,0,9.280987,65,0,1,0,1
181000.1,101,1,3,30,0,9.263879,106,0,1,0,1
279995.1,96,1,4,34,0,12.03662,180,0,1,0,1
57949.99,31,1,1,23,1,12.80716,38,0,0,0,0
99499.97,11,1,1,32,0,12.01973,58,1,0,1,0
215000.1,71,1,3,36,0,11.72842,135,0,1,0,1
184000,51,1,3,33,0,11.61547,91,1,1,0,1
182000,101,1,3,29,0,11.57019,102,0,1,0,1
175000,51,1,3,36,0,11.5403,95,0,1,0,1
101500,31,1,2,29,0,12.6255,58,0,0,1,0
371000,41,2,4,35,0,10.82335,184,0,1,0,1
54949.99,51,1,2,31,0,11.45912,81,1,1,0,1
117500,141,1,1,30,0,11.18776,61,1,1,0,0
122500,71,1,2,32,0,11.60795,72,1,1,0,1
108000,34,1,2,29,0,11.87822,85,0,1,0,0
105000,34,1,2,29,0,11.87822,85,0,1,0,0
106000,101,1,2,23,0,11.86371,73,0,1,0,0
240000,221,1,2,32,0,1.261175,84,1,1,0,0
126500,71,1,1,24,0,1.386987,48,0,1,0,0
191000,3,2,2,29,0,2.647,124,0,1,0,0
165000,42,1,2,30,0,2.760569,77,1,0,1,0
240000,42,1,2,30,0,2.760569,65,1,0,1,0
108000,27,1,1,27,0,2.497577,46,0,1,0,0
182500.1,126,2,2,30,0,2.436434,112,0,1,0,0
140000,101,1,1,30,0,5.296521,70,0,1,0,0
182000,11,1,3,46,0,5.069213,74,1,0,1,0
104500,11,1,1,27,0,4.677833,42,1,1,0,0
160000,131,1,2,31,0,4.081052,68,0,1,0,0
135000,106,1,1,30,0,4.081052,57,0,1,0,0
116500,41,1,2,33,0,4.674779,74,1,1,0,0
94999.96,31,1,2,28,0,4.66615,90,1,1,0,0
249950,121,1,3,29,0,4.275986,110,0,1,0,1
167000,71,1,3,30,0,14.3716,92,0,1,0,1
85999.99,51,1,2,31,1,14.08003,50,0,0,0,0
305000,91,1,4,38,0,14.0854,160,0,1,0,1
175000,69,1,3,49,0,13.59132,99,0,1,0,1
379999.8,91,2,4,36,0,15.04614,222,1,1,0,1
